verdict,entreprise,titre,ville,score_ville,skills,salaire,deadline,duree_texte,duree_semaines,url,resume,raison_verdict
TOP,tiko Energy Solutions,Internship Interview,Milan,36,"Terraform, k8s, reverse proxy",,,9 mesi,36,https://www.glassdoor.com/Interview/tiko-Energy-Solutions-Interview-Questions-E4844732.htm,"Stage en DevOps avec mise en pratique de Terraform et Kubernetes, idéal pour un élève ingénieur souhaitant se spécialiser dans l'infrastructure cloud.",Compétences techniques pertinentes et environnement technique aligné avec les attentes d'un élève ingénieur.
TOP,PWC Italy,Software Engineer Developer Intern - Milano [DIG],Milan,36,"CI/CD, NoSQL, Google Cloud Platform, MongoDB, Git",,,30d+,99,"https://www.glassdoor.com/Job/italy-software-engineer-internship-jobs-SRCH_IL.0,5_IN120_KO6,34.htm","Stage en développement logiciel avec technologies modernes (NoSQL, Google Cloud Platform) dans un environnement professionnel. Expérience en CI/CD et Git.",Technologies pertinentes et environnement professionnel
TOP,Doctolib,Software Engineer Intern (x/f/m) - Milan,Milan,36,"Software Engineering, AI, Distributed Systems, Agile, Healthcare Tools",EUR 1k-1k / month,,,99,https://jobs.accel.com/companies/doctolib-2/jobs/59996160-software-engineer-intern-x-f-m-milan,"Stage d'ingénieur en développement logiciel chez Doctolib à Milan. Environnement technique innovant avec des projets impactant directement la santé, utilisant des technologies comme l'IA et les systèmes distribués. Expérience pédagogique forte en collaboration avec des équipes pluridisciplinaires.",Stage technique pertinent avec technologies avancées et impact concret dans le domaine de la santé
TOP,Interlem,Junior DevOps Engineer - Internship,Milan,36,"DevOps, Cloud, Automation",,,,99,https://www.linkedin.com/jobs/devops-engineer-jobs-milan?trk=jobs_jserp_crossLink_click,Stage de Junior DevOps Engineer à Milan chez Interlem. Environnement technique DevOps et Cloud avec une forte valeur pédagogique pour un élève ingénieur.,Stage DevOps pertinent pour élève ingénieur
TOP,Airbus,UpNext Internship 2026 - Computer Vision Integration & Validation,Milan,36,"Computer Vision, Integration, Validation",,,,99,https://stage4eu.it/,Stage technique chez Airbus avec focus sur la vision par ordinateur et l'intégration de systèmes. Environnement innovant et pédagogique pour les élèves ingénieurs.,Technologies pertinentes et environnement technique attractif
TOP,Amazon,Tirocini per studenti,Milan,36,"Apprendimento automatico, Cloud computing, Algoritmi, Big Data",,,12 a 16 settimane,12,https://www.amazon.jobs/it/teams/internships-for-students,"Stage technique chez Amazon à Milan, idéal pour les élèves ingénieurs. Environnement innovant avec apprentissage automatique, cloud computing et big data. Programme structuré avec mentorat et opportunités de croissance.",Stage technique pertinent pour élèves ingénieurs avec compétences techniques et environnement technique clair.
BOF,Avvale,Data Engineer,Milan,36,"Azure, AWS, GCP, Docker, Kubernetes",,,,99,https://www.avvale.com/it/open-positions,"Stage en Data Engineering avec des technologies cloud (Azure, AWS, GCP) et des compétences en Docker/Kubernetes. Environnement technique moderne et opportunité d'apprentissage en gestion de données.","Peu de détails sur la durée et le salaire, mais technologies pertinentes pour un élève ingénieur."
BOF,Experis,DevOps Engineer,Milan,36,"I.C.T., Consulenza",,2025-12-04,,99,https://www.experis.it/it/cerca-lavoro/professioni/devops-engineer,"Stage de DevOps Engineer chez Experis à Milan. Environnement technique orienté I.C.T. et consulenza, idéal pour un élève ingénieur souhaitant acquérir des compétences en gestion de projets IT.",Compétences techniques peu précises et durée non spécifiée
BOF,Experis,DevOps Engineer,Milan,36,"Architettura, Provisioning, Amministrazione di sistema, Controllo del codice sorgente, Principi Agile",45.000€,,,99,https://www.experis.it/it/cerca-lavoro/professioni/devops-engineer,"Stage de DevOps Engineer à Milan. Environnement technique varié avec des compétences en architecture, provisioning et administration de systèmes. Expérience pédagogique en collaboration avec des équipes Agile.",Offre générale sans durée précise ni deadline
BOF,,"[PDF] uffici di trasferimento tecnologico (UTT), incubatori universitari, spin ...",Milan,36,,,,,99,https://www2.crui.it/crui/osservatorio/3_GdL3_Rapporto%20Def.pdf,Document académique sur le transfert technologique et les incubateurs universitaires. Pertinent pour les élèves ingénieurs intéressés par l'innovation et la valorisation de la recherche.,"Contenu trop académique, peu d'informations concrètes sur les stages."
BOF,Herzum,Junior DevOps Engineer,Milan,36,"DevOps, Cloud, Engineering",,,,99,https://www.linkedin.com/jobs/devops-engineer-jobs-milan?trk=jobs_jserp_crossLink_click,"Stage chez Herzum en tant que Junior DevOps Engineer. Environnement technique DevOps et Cloud, idéal pour un élève ingénieur.",Manque de détails sur la durée et les compétences techniques spécifiques
BOF,Alvarez & Marsal,Internships,Milan,36,"Python, AWS, Docker",,,8-10 weeks,10,https://careers.alvarezandmarsal.com/search/jobs/in/country/portugal?ns_category=internships&page=2,"Stage en développement pour élèves ingénieurs, avec technologies modernes et environnement collaboratif. Opportunité pédagogique forte dans une entreprise internationale.",Peu de détails techniques spécifiques
BOF,CIEE,Summer Intern + Study Abroad | Milan,Milan,36,"Content Creation, Customer Service, Brand Promotion",,,6 weeks,6,https://www.ciee.org/go-abroad/college-study-abroad/programs/italy/milan/summer-intern-study-abroad,"Stage combinant expérience professionnelle et formation académique à Milan, avec focus sur les compétences techniques et culturelles. Idéal pour un élève ingénieur cherchant à allier technologie et immersion internationale.",Compétences techniques floues et peu techniques
BOF,Bending Spoons,"Software engineer, summer intern Spain",Milan,36,"Python, AWS, Docker",,,Summer,10,https://jobs.bendingspoons.com/positions/6890dcc0099d1fb8baf95b57,"Stage d'ingénieur logiciel en été à Milan, avec immersion dans l'environnement technique de Bending Spoons et opportunité de travailler sur des technologies comme Python, AWS et Docker.",Stage pertinent mais mention de 'Spain' dans le titre
BOF,Avvale,Backend Developer,Milan,36,"Node.js, Python, Cloud",,,,99,https://www.avvale.com/it/open-positions,Stage backend en Node.js/Python avec focus cloud. Environnement technique cloud enterprise et opportunité de collaborer avec des équipes pluridisciplinaires.,"Poste junior mais expérience requise (2 ans), durée non précisée"
BOF,Milano Cortina 2026,Olympic Games Sport Temporary Workforce LIVIGNO – Snowboard and Freestyle Skiing,Milan,36,"Sport, Venue Management, Operational Support",,,janvier et février 2026,99,https://milanocortina2026.intervieweb.it/en/career,"Stage dans le domaine sportif pour les Jeux Olympiques, avec une expérience pratique dans la gestion des événements et le support opérationnel. Idéal pour les élèves ingénieurs intéressés par l'organisation d'événements et la logistique.",Peu de compétences techniques précises et durée floue.
BOF,Experis,DevOps Engineer,Milan,36,"DevOps, I.C.T., Consulenza",45.000€,2025-12-04,,99,https://www.experis.it/it/cerca-lavoro/professioni/devops-engineer,Stage de DevOps Engineer chez Experis à Milan. Environnement technique DevOps avec opportunités de consulting. Idéal pour acquérir des compétences pratiques en gestion de projets IT.,Compétences techniques floues et durée non précisée
BOF,DITEDI,Kubernetes: from Zero to Hero,Milan,36,"Kubernetes, Microservices, Container",,2020-11-20,,99,https://www.ditedi.it/news/,"Formation intensive sur Kubernetes et les microservices, idéale pour les élèves ingénieurs souhaitant maîtriser les technologies cloud et les architectures modernes. Environnement technique professionnel avec une forte valeur pédagogique.","Offre de formation plutôt que de stage, mais pertinente pour les compétences techniques."
BOF,DeepTrace Technologies,Cloud Engineer,Milan,36,"Cloud, DeepTrace",,,,99,https://xjobs.cdpventurecapital.it/jobapply_popup.php?jobid=2977263,"Stage Cloud Engineer chez DeepTrace Technologies à Milan. Environnement technique orienté cloud et technologies avancées, idéal pour un élève ingénieur.",Peu d'informations sur la durée et les compétences techniques précises
BOF,Interlem,Cloud Engineer,Milan,36,"Cloud, Engineering",,,,99,https://www.linkedin.com/jobs/cloud-engineer-jobs-milan?trk=guest_job_search_related_jserp_link,"Stage de Cloud Engineer à Milan. Environnement technique axé sur le cloud computing, idéal pour un élève ingénieur souhaitant développer des compétences en ingénierie cloud.",Compétences techniques peu détaillées
BOF,Total,STAGE - Ingénieur Géosciences H/F,Milan,36,Géosciences,,,6 months,24,https://www.iagora.com/work/en/offer/internship-france-engineering/5788748,"Stage en ingénierie géosciences chez Total, idéal pour un élève ingénieur souhaitant travailler dans le domaine des énergies. Environnement technique riche et valorisation de la diversité.",Compétences techniques peu détaillées
BOF,Alvarez & Marsal,Internships,Milan,36,,,,"Typically, 8-10 weeks",10,https://careers.alvarezandmarsal.com/search/jobs/in/country/portugal?ns_category=internships&page=2,Stage pour élèves ingénieurs avec technologies variées et environnement technique stimulant. Offre une expérience pédagogique valorisante.,Compétences techniques non précisées
BOF,Amazon,AWS Internships,Milan,36,"AWS, Python, Docker",,,,99,https://www.amazon.jobs/content/en/teams/amazon-web-services/internships,Stage ingénieur chez Amazon pour travailler sur des projets AWS avec des experts. Opportunité de développer des compétences techniques et d'intégrer un environnement innovant.,Manque d'informations sur la durée et le salaire
BOF,Amazon Web Services (AWS),"Cloud Consultant Intern, National Security, AWS Professional Services",Autre,36,"Cloud Computing, AWS, National Security",,,,99,https://www.amazon.jobs/de/jobs/3133984/cloud-consultant-intern-national-security-aws-professional-services,Stage chez AWS pour développer des compétences en cloud computing et sécurité nationale. Environnement technique riche avec des experts AWS et opportunité d'intégrer un programme de carrière accéléré.,"Ville non conforme, durée non précisée"
BOF,Disney Careers,"Site/Systems Reliability Intern, Summer 2026",Autre,36,"Docker, Kubernetes, AWS, GCP, Azure",,,Summer,10,https://jobs.disneycareers.com/job/orlando/site-systems-reliability-intern-summer-2026/391/90809072,"Stage en fiabilité système chez Disney avec des technologies cloud (AWS, GCP, Azure) et containerisation (Docker, Kubernetes). Expérience pédagogique forte en résolution de problèmes techniques.",Ville non autorisée (Orlando)
BOF,Entreprise non montrée,Internship in Technology Strategy & Transformation,Autre,36,"IT strategy, architecture, transformation projects",,,6-month role,24,https://www.iagora.com/work/fr/stages-et-emplois/suisse/geneve,"Stage en stratégie technologique et transformation pour élèves ingénieurs. Environnement technique axé sur l'IT et les projets de transformation, avec un accent sur la valeur pédagogique.",Ville non autorisée (Genève)
BOF,Enova Consulting,DevOps / Platform Engineer,Autre,36,"Cloud Azure, DevOps, Platform Engineer",,,,99,https://www.optioncarriere.ch/emploi-infrastructure/Canton-de-Gen%C3%A8ve,"Stage DevOps/Platform Engineer chez Enova Consulting à Genève, axé sur la modernisation Cloud Azure. Environnement technique cloud et valeur pédagogique forte.",Ville non pertinente (Genève)
BOF,Dassault Aviation Business Services SA,Stagiaire Développeur(se) API/Power BI,Autre,50,"API, Power BI",,,,99,https://emploi-it.ch/developpeur,Stage axé sur le développement d'API et l'analyse de données avec Power BI. Environnement technique moderne et valeur pédagogique forte pour un élève ingénieur.,Ville non autorisée
BOF,EXANTE,Fullstack Developer (Python TypeScript),Autre,36,"Python, TypeScript",,,2 jours / semaine,99,https://ch.jooble.org/emploi-d%C3%A9veloppeur-teletravail/Gen%C3%A8ve-GE,Poste de développeur fullstack en Python et TypeScript dans un environnement tech innovant. Idéal pour un élève ingénieur souhaitant travailler sur des projets concrets.,Ville non autorisée (Genève)
BOF,Atropos Health,Associate DevOps Engineer (IT & Infrastructure),Autre,36,"AWS, Azure, GCP, DevOps, Problem-solving",$70k - $105k,2026-01-22,Full Time,99,https://www.eternalcitytrading612.co.za/job-listing/job/associate-devops-engineer-it-and-infrastructure-at-atropos-health-remote-b2tlUE0wV28zaFpyL2o0NXc5TGdDNW9nTVE9PQ==,"Stage en DevOps chez Atropos Health, spécialisé dans les technologies cloud (AWS, Azure, GCP) et les principes DevOps. Environnement technique innovant avec une forte valeur pédagogique pour un élève ingénieur.","Poste en remote, non situé à Milan"
BOF,Alvarez & Marsal,Internships,Autre,50,"Innovation, Collaboration, Learning",,,8-10 weeks or up to 4 months,10,https://careers.alvarezandmarsal.com/search/jobs/in/country/portugal?ns_category=internships&page=2,Stage pour élèves ingénieurs avec focus sur innovation et collaboration. Environnement technique non spécifié mais opportunité pédagogique forte.,Ville non Milan et compétences trop générales
BOF,BCG,Search Results | Find available job openings,Autre,36,"data analysis, benchmarking, strategy",,,,99,https://careers.bcg.com/global/en/search-results/1000000000000000000000000000000000000000000000000000000000000000000000000000000?from=80&s=10000000000000,"BCG propose des stages axés sur l'analyse de données et la stratégie opérationnelle, offrant une immersion dans un environnement consultatif et des technologies de benchmarking.",Peu de détails spécifiques sur les stages pour élèves ingénieurs
BOF,ILO - International Labour Organization,Fonctionnaire chargé des opérations de sécurité de l'information,Autre,36,"Security Technical Implementation Guidelines, Azure, Intune, Configuration Manager, Centre for Internet Security (CIS)",,2024-06-06,,99,https://www.impactpool.org/jobs/1070289,"Stage en sécurité de l'information avec des technologies comme Azure, Intune et Configuration Manager, dans un environnement international axé sur la cybersécurité. Expérience pédagogique sur les normes de sécurité et l'analyse des menaces.",Peu pertinent car la ville n'est pas Milan
BOF,BMO U.S.,"Software Developer, Summer 2026 (Internship) - 10 weeks",Autre,50,"Python, AWS, Docker",,,10 weeks,10,https://www.linkedin.com/jobs/view/software-developer-summer-2026-internship-10-weeks-at-bmo-u-s-4364629802,"Stage de développement logiciel chez BMO U.S. avec des technologies comme Python, AWS et Docker. Idéal pour un élève ingénieur souhaitant évoluer dans un environnement technique bancaire.",Ville non conforme (Chicago)
BOF,Amazon Web Services (AWS),Associate Professional Services Consultant Intern 2026,Autre,36,"Cloud Computing, Machine Learning, AWS, EC2, ELB",,,,99,https://www.amazon.jobs/en/jobs/3158756/associate-professional-services-consultant-intern-2026,"Stage chez AWS axé sur le Cloud Computing et les solutions techniques. Environnement technique riche avec des technologies comme EC2, ELB et des méthodologies Agile. Expérience valorisante pour un élève ingénieur.",Ville non conforme